10:51:04:642|0418-CustomStat: -CUSTOMSTATS_METADATA -Table {E2EDLY Stats} -ParentTable {components} -PrimaryKeyFields {Component,From,} -Fields {Component,STR,From,STR,To,STR,Delay,REAL,DelayMin,REAL,DelayMax,REAL,DelayMaxTime,STR,DelayAdjusted,REAL,DelayMaxAdjusted,REAL,DelayBaseline,REAL,Updates,INT,TotUpdates,REAL,RTTDelay,REAL,RTTDelayMin,REAL,RTTDelayMax,REAL,RTTDelayMaxTime,STR,RTTUpdates,INT,RTTTotUpdates,REAL,TimeStamp,STR,}
10:54:11:923|0351-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {STP1} -Component {STP1} -YoungGenUse {57704} -YoungGenMax {2762752} -OldGenUse {16470} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {6} -TimeStamp {} -SupplyTimestamp {08:54:11:923}
10:54:12:789|0040-TickData: RTTDelay,DM_DOCKER,STP1 {2=2,}
10:55:11:923|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {STP1} -Component {STP1} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:55:11:923}
10:55:11:923|0351-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {STP1} -Component {STP1} -YoungGenUse {57704} -YoungGenMax {2762752} -OldGenUse {16470} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {0} -TimeStamp {} -SupplyTimestamp {08:55:11:923}
10:55:12:816|0043-TickData: RTTDelay,DM_DOCKER,STP1 {2=1,3=1}
10:56:11:924|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {STP1} -Component {STP1} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:56:11:924}
10:56:11:925|0351-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {STP1} -Component {STP1} -YoungGenUse {57704} -YoungGenMax {2762752} -OldGenUse {16470} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {0} -TimeStamp {} -SupplyTimestamp {08:56:11:925}
10:56:12:840|0040-TickData: RTTDelay,DM_DOCKER,STP1 {2=2,}
10:57:11:925|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {STP1} -Component {STP1} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:57:11:925}
10:57:11:925|0351-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {STP1} -Component {STP1} -YoungGenUse {58079} -YoungGenMax {2762752} -OldGenUse {16470} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {6} -TimeStamp {} -SupplyTimestamp {08:57:11:925}
10:57:12:865|0040-TickData: RTTDelay,DM_DOCKER,STP1 {2=2,}
10:58:11:925|0161-CustomStat: -CUSTOMSTATS -Table {E2EDLY Stats} -Owner {STP1} -Component {STP1} -From {R567} -To {STP1} -Delay {0.0} -TimeStamp {} -SupplyTimestamp {08:58:11:925}
10:58:11:925|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {STP1} -Component {STP1} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:58:11:925}
10:58:11:925|0351-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {STP1} -Component {STP1} -YoungGenUse {58370} -YoungGenMax {2762752} -OldGenUse {16470} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {4} -TimeStamp {} -SupplyTimestamp {08:58:11:925}
10:58:12:890|0040-TickData: RTTDelay,DM_DOCKER,STP1 {2=3,}
10:59:11:926|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {STP1} -Component {STP1} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {08:59:11:926}
10:59:11:926|0351-CustomStat: -CUSTOMSTATS -Table {GC Stats} -Owner {STP1} -Component {STP1} -YoungGenUse {58370} -YoungGenMax {2762752} -OldGenUse {16470} -OldGenMax {5569536} -PermGenUse {0} -PermGenMax {0} -MinCollCnt {0} -MajCollCnt {0} -MinCollDur {0} -MajCollDur {0} -MinCollStw {0} -MajCollStw {0} -HeapAllocKBps {0} -TimeStamp {} -SupplyTimestamp {08:59:11:926}
10:59:12:915|0040-TickData: RTTDelay,DM_DOCKER,STP1 {2=2,}
11:00:11:926|0174-CustomStat: -CUSTOMSTATS -Table {MQ Stats} -Owner {STP1} -Component {STP1} -MQPubLocal {0} -MQSubLocal {0} -MQPut {0} -MQSup {0} -TimeStamp {} -SupplyTimestamp {09:00:11:926}
